Hari Besar di Indonesia
- 01 Januari 	: Tahun Baru Masehi
- 05 Februari 	: Tahun Baru Imlek
- 07 Maret	: Hari Raya Nyepi
- 03 April	: Isra Miraj
- 17 April	: Pemilu
- 19 April	: Jumat Agung
- 01 Mei	: Hari Buruh
- 19 Mei	: Hari Raya Waisak
- 30 Mei	: Kenaikan Isa Almasih
- 01 Juni	: Hari Lahir Pancasila
- 03 - 04 Juni	: Cuti Bersama
- 05 - 06 Juni	: Idul Fitri
- 07 Juni 	: Cuti Bersama
- 11 Agustus	: Idul Adha
- 17 Agustus 	: Hari Kemerdekaan
- 01 September	: Tahun Baru Hijriyah
- 09 November	: Maulid Nabi
- 24 Desember	: Cuti Bersama
- 25 Desember 	: Hari Natal

YANG BERHUBUNGAN DENGAN RBA
- 24 April	Hari Angkutan Nasional
- 28 September	Hari Kereta Api
- 27 Oktober	Hari Penerbangan Nasional
